,listing_id,counts
3767,11572778,202
2485,8447443,202
4280,13105095,202
1740,6009715,202
2714,9014199,202
5394,15748576,202
382,1494540,202
234,913004,202
2195,7536742,202
2327,7960037,202
5430,15808009,201
8913,21385443,201
2876,9467179,201
4108,12658445,200
8272,20561531,200
2173,7426490,200
1816,6277138,199
2442,8355418,199
4069,12521333,199
4457,13499524,198
3363,10438182,198
1262,4771043,198
2649,8847470,198
5081,15138195,198
7844,19751390,197
896,3448484,197
4975,14907026,197
6176,16758427,197
3428,10579002,197
5862,16357437,197
4572,13775547,197
7,43429,196
7768,19630943,196
2153,7373971,195
6178,16760938,195
7277,18722225,195
2869,9451548,195
5399,15758716,195
4188,12874451,195
8400,20754353,195
2511,8513168,195
637,2334567,195
6484,17307528,195
2696,8967493,194
8781,21225506,194
4894,14695167,194
4518,13646882,193
490,1915939,193
4026,12365598,193
4260,13059794,193
6204,16803083,193
5203,15404490,193
4070,12521556,193
4970,14902634,193
4807,14349785,192
4846,14524412,192
1533,5472920,192
7014,18274702,192
2246,7697923,192
3736,11483097,191
2146,7333251,191
263,988366,191
1473,5282812,191
4439,13454459,190
2184,7464302,190
1496,5364711,190
6096,16653607,190
1924,6596027,190
5757,16235173,190
6728,17757309,189
4779,14323458,189
1024,4071663,189
498,1937582,189
3499,10793887,189
3924,12059636,189
4947,14848971,189
3671,11320959,188
1123,4378693,188
3483,10756074,188
3627,11192069,188
4146,12786917,188
5576,16042031,188
3869,11877693,187
3613,11127212,187
1224,4670828,187
4160,12814488,187
225,890726,187
3626,11190489,187
6812,17898054,186
2674,8923294,186
2981,9660808,186
4484,13569675,185
1078,4237172,185
5116,15223839,185
4909,14736770,185
975,3845375,185
547,2075836,185
3471,10714041,184
8072,20158357,184
4656,13977858,184
12207,25884976,184
2856,9401085,184
6316,16998638,184
6730,17766779,183
9032,21489744,183
9177,21617419,183
2221,7638760,183
7881,19792278,182
7779,19644120,182
1481,5310039,182
5584,16045624,182
4750,14255708,182
7004,18255517,182
6555,17465305,182
98,438899,182
7268,18693203,182
3633,11210768,182
203,835730,181
7114,18452997,181
989,3908598,181
3834,11798679,181
1382,5043762,181
5950,16450000,181
3490,10773008,181
849,3209547,181
5529,15957652,181
4084,12572334,180
2413,8261137,180
5219,15437909,180
466,1832876,180
1212,4639950,180
2475,8414625,180
8885,21361697,180
4688,14096409,180
812,3044234,180
7562,19212431,179
6011,16518609,179
3585,11028056,179
3587,11044003,179
2737,9079133,179
10245,22591470,179
3122,9925163,179
1165,4512840,179
4340,13243139,179
9882,22255770,178
6311,16989973,178
3055,9806813,178
4265,13068164,177
5889,16394007,177
5313,15605353,177
6612,17549984,177
882,3388259,177
9,47100,177
3765,11560652,177
1201,4618018,176
3598,11087777,176
7301,18759952,176
661,2406621,176
2390,8211611,175
5097,15173701,175
5092,15170817,175
2517,8526983,174
7532,19151205,174
3030,9740823,174
4828,14448076,174
5823,16315464,174
2368,8121375,174
1100,4288409,174
2437,8332114,173
1023,4070705,173
2878,9468219,173
5775,16260817,173
287,1064493,173
1803,6202696,172
4942,14834055,172
1709,5886333,172
2904,9533627,172
2645,8845761,172
134,534083,172
3381,10475852,172
5881,16381217,172
6285,16933450,172
1231,4689188,171
6403,17126676,171
3233,10127928,171
964,3783213,171
4739,14224427,171
6021,16534504,171
5758,16237224,171
7272,18712276,171
2701,8982579,171
5224,15457790,171
3314,10302256,171
6119,16681394,170
5597,16069725,170
795,2982970,170
2279,7811440,170
4971,14902956,170
4959,14876025,170
8401,20754724,170
4424,13420507,170
4890,14672741,170
4332,13220503,169
2934,9595259,169
6417,17160998,169
4129,12721757,169
7249,18669065,169
2370,8123045,169
696,2509366,169
6411,17141950,169
166,661004,169
2677,8926550,169
325,1233605,168
732,2615911,168
6720,17740339,168
5084,15140791,168
405,1610201,168
237,926682,168
1256,4761089,168
1755,6069467,168
5673,16165358,168
5491,15919556,168
10510,22973072,168
5114,15211834,168
8054,20138766,167
2630,8820630,167
5596,16061115,167
1817,6279470,167
632,2327860,167
4483,13568325,167
6767,17814752,167
2207,7569733,167
1428,5176624,167
3306,10285181,166
11559,24570767,166
5544,15977318,166
7617,19333857,166
7807,19684753,166
4764,14286116,166
710,2553316,166
4590,13817665,166
2004,6825713,166
6304,16978470,165
5593,16056538,165
2084,7132404,165
458,1803184,165
1903,6497858,165
7063,18349419,165
6815,17898972,165
1215,4653923,165
218,872081,165
992,3947279,165
1293,4830431,165
3223,10122239,164
6746,17783304,164
3494,10791241,164
4956,14864948,164
5488,15908124,164
7852,19753290,164
6513,17369477,164
614,2251468,164
4738,14220803,164
2791,9242191,164
7464,19040254,164
3177,10030726,164
2177,7450920,164
3502,10800387,163
3962,12167471,163
1484,5311085,163
5444,15838655,163
892,3435050,163
2163,7404880,163
4918,14763594,163
6350,17027674,163
11517,24485424,163
12,67211,162
5503,15937802,162
1502,5378241,162
5044,15049326,162
3701,11401308,162
5215,15437431,162
1059,4185757,162
